Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,825.807388097378,1655.58773023347,2635.74874800639,2825.51902913555,3187.86620251971,3299.66560477367,3452.92167895051,3687.83695118893,3923.57334364713,4140.59006414525,4470.61079849788,4549.01008110721
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,419.788629838451,363.482478999068,674.085550244342,672.42440256326,651.135363532528,717.050737885779,769.003943268519,787.238070220189,769.256013746355,733.020758844682,821.651460927645,885.251228166811
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,250.150467936055,308.144119293709,557.171614773484,557.632132626126,702.742880436386,616.411686249548,634.48244599306,622.481716725217,603.158512942404,661.007654906181,736.725566231783,777.969921786711
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,533.536205388525,954.404152491261,2756.81988916377,3033.24772490536,3425.43644063562,3788.14674878178,3934.86526171904,4031.60066245674,4166.13482575402,4542.62206666493,4586.05457171312,4634.68133523087
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,439.944062994775,467.147558753214,672.036997916062,665.627419493396,744.217426799623,769.707383397324,812.688690037387,831.959819311853,815.728284410317,735.755120171312,765.61398474258,868.284799613704
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,993.483052704469,1080.46212866245,1777.2711691277,1891.15739535346,2073.90395757151,2129.52169798827,2088.09794403724,2190.65071512549,2286.20003874608,2326.29702734293,2432.9353638196,2482.73020626573
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,13485.5448929565,25756.6637783278,30697.340383517,32549.998231121,35142.4879344543,36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43734.2499937722,46220.5045489974,48717.2912142538
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,4633.31292266249,13029.883375372,13092.2337567695,14118.1226290277,12888.3045908829,13668.226050329,14197.8369994803,12503.6820684794,12839.5845439042,14278.8744978024,15938.8367965554
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,25423.0720058482,32018.0632471857,41333.4198670842,43024.9238377351,47516.8757402109,45910.0209039774,49522.2369665887,54242.0546770039,52428.5957626253,61757.9493064483,71314.774196294,73191.1163154337
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,367.556618107371,443.314204000774,1101.96091934604,1357.56370057352,1458.10314488683,1443.87952939042,1449.6059123387,1573.88149211052,1605.60543109026,1729.26802051544,1981.49904456819,2015.59048548675
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,585.076549951004,780.190200986579,2261.24722374577,3122.3628152165,3643.04393616103,3694.34894603237,3623.91158235135,3491.62479085767,3331.69512758628,3562.84575641971,3836.91381389271,3893.59607757239
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,2214.32749205514,1670.00946997849,5677.88852169889,6603.21226914401,7818.05723219579,7927.64754158673,6111.44060803083,5608.6025115113,4916.08593793143,5265.90663458425,5627.74926845456,..
