Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,97891090928.6328,130133845771.144,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,196591353761.226,195222443512.937,203085551429.132,218031844583.994
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1018970364.86443,1068030829.75591,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2713534471.23312,..,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,278098762.962963,520044370.37037,771275555.555555,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061631222.22222,1126882296.2963,1207454555.55556
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,4781000000,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5793000000,5859000000,..
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125217.35253,19288827158.9035,37734072278.3802,41338521637.6882,47654783851.8252,50388460924.7345,53851148431.9316,58722323918.1604,63767597193.9175,68663653469.1246,75620095537.5005,78460447919.9915
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666616176.91609,2995360969.16199,6716904568.75769,6853467857.6196,6785137172.76517,7638045254.43072,8376613843.27475,8778473614.54971,8794202443.67754,8604520929.47352,9915311049.15133,10989790256.3533
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.509785,370173838.651652,826798659.766283,849050127.504407,1098379391.95039,989327811.785114,1045790132.98518,1053512334.17271,1047808175.00057,1178204501.38801,1346841897.00437,1458156026.13413
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.291139,712667896.727512,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2987684170.24434,3077643313.70623,3197225181.59806,3504024213.07506,3555205811.13802,3610435298.87019
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,3096289800,3953846310.66081,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776350789.5993,8724656126.49849,7975563430.00341,8408252995.16143,9658084644.22796
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,4923009551.51561,7103507989.05044,14486137413.5468,15729644901.1305,17588097149.7619,18400538970.1119,18372173610.6685,19618567447.2199,20833948912.2897,21566622849.6057,22940179173.6147,23803230472.6372
